point,1-2,1-3,1-4,1-5
1,0.754723846912384,0.6978404521942139,0.688697874546051,0.6060388088226318
2,0.904974102973938,0.8387449979782104,0.8447028994560242,0.8013877868652344
3,0.9292380809783936,0.871052622795105,0.8177234530448914,0.7429463267326355
4,0.9139191508293152,0.8115457892417908,0.80374675989151,0.7001753449440002
5,0.8536472320556641,0.7827268838882446,0.7313787937164307,0.7164968252182007
6,0.9427213668823242,0.9300309419631958,0.8720135688781738,0.8321337699890137
7,0.9347565174102783,0.8832672834396362,0.8887721300125122,0.8344356417655945
8,0.9141470193862915,0.8453125953674316,0.8324418663978577,0.7685012221336365
